player_id,player_name,position,team,games,fantasy_points,fantasy_points_ppr,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,completions,attempts,passing_yards,passing_tds,interceptions,snap_pct
00-0036345,K.J. Osborn,WR,WAS,6,11.7,18.7,0,0.0,0,18,7,57.0,1,0,0,0.0,0,0.0,0.495
00-0036355,Justin Herbert,QB,LAC,17,285.40000000000003,285.40000000000003,69,306.0,2,0,0,0.0,0,332,504,3870.0,23,3.0,0.9783333333333333
00-0036358,CeeDee Lamb,WR,DAL,15,162.4,263.40000000000003,14,70.0,0,152,101,1194.0,6,0,0,0.0,0,0.0,0.8019999999999999
00-0036360,Clyde Edwards-Helaire,RB,NO,2,7.0,10.0,13,46.0,0,5,3,24.0,0,0,0,0.0,0,0.0,0.35
00-0036370,Joshua Kelley,RB,TEN,1,0.2,0.2,1,2.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.02
00-0036387,Jalen Reagor,WR,LAC,7,7.7,14.7,3,-3.0,0,12,7,100.0,0,0,0,0.0,0,0.0,0.2825
00-0036389,Jalen Hurts,QB,PHI,15,315.12,315.12,150,630.0,14,0,0,0.0,0,248,361,2903.0,18,5.0,0.9252631578947368
00-0036407,Jerry Jeudy,WR,CLE,17,150.9,240.9,0,0.0,0,145,90,1229.0,4,0,0,0.0,0,0.0,0.8970588235294118
00-0036410,Tee Higgins,WR,CIN,12,149.1,222.10000000000002,0,0.0,0,109,73,911.0,10,0,0,0.0,0,0.0,0.7908333333333334
00-0036414,Cam Akers,RB,MIN,15,79.2,93.2,104,444.0,2,18,14,68.0,3,0,0,0.0,0,0.0,0.23500000000000001
00-0036415,Van Jefferson,WR,PIT,15,39.6,63.6,0,0.0,0,40,24,276.0,2,0,0,0.0,0,0.0,0.6522222222222223
00-0036422,Adam Trautman,TE,DEN,13,30.8,43.8,0,0.0,0,22,13,188.0,2,0,0,0.0,0,0.0,0.5
00-0036425,DeeJay Dallas,RB,ARI,7,18.0,21.0,9,49.0,0,3,3,11.0,1,0,0,0.0,0,0.0,0.04588235294117647
00-0036427,Tyler Johnson,WR,LA,11,35.1,61.1,0,0.0,0,41,26,291.0,1,0,0,0.0,0,0.0,0.3766666666666667
00-0036429,Charlie Woerner,TE,ATL,8,4.6000000000000005,11.6,0,0.0,0,12,7,46.0,0,0,0,0.0,0,0.0,0.424375
00-0036438,Stephen Sullivan,TE,CAR,1,0.0,0.0,0,0.0,0,1,0,0.0,0,0,0,0.0,0,0.0,0.11
00-0036442,Joe Burrow,QB,CIN,17,372.82,372.82,42,201.0,2,0,0,0.0,0,460,652,4918.0,43,9.0,0.9952941176470589
00-0036450,Ke'Shawn Vaughn,RB,SF,1,0.4,0.4,2,4.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.016666666666666666
00-0036463,Chris Blair,WR,ATL,2,1.7000000000000002,2.7,0,0.0,0,2,1,17.0,0,0,0,0.0,0,0.0,
00-0036497,Tim Jones,WR,JAX,3,4.1,7.1,0,0.0,0,5,3,41.0,0,0,0,0.0,0,0.0,
00-0036510,Kenny Yeboah,TE,NYJ,6,10.7,15.7,0,0.0,0,8,5,47.0,1,0,0,0.0,0,0.0,0.19
00-0036527,DJ Turner,WR,LV,10,31.1,47.1,5,33.0,1,29,16,158.0,1,0,0,0.0,0,0.0,
00-0036534,Shane Zylstra,TE,DET,1,2.2,3.2,0,0.0,0,1,1,22.0,0,0,0,0.0,0,0.0,0.12846153846153846
00-0036550,Rashod Bateman,WR,BAL,16,129.60000000000002,174.60000000000002,0,0.0,0,72,45,756.0,9,0,0,0.0,0,0.0,0.6763157894736842
00-0036554,Nico Collins,WR,HOU,12,142.60000000000002,210.60000000000002,0,0.0,0,99,68,1006.0,7,0,0,0.0,0,0.0,0.6892857142857143
00-0036555,Chuba Hubbard,RB,CAR,15,198.60000000000002,241.60000000000002,250,1195.0,10,54,43,171.0,1,0,0,0.0,0,0.0,0.7733333333333333
00-0036556,Brevin Jordan,TE,HOU,2,0.7000000000000001,2.7,0,0.0,0,3,2,7.0,0,0,0,0.0,0,0.0,0.475
00-0036590,Quintin Morris,TE,BUF,5,9.6,14.600000000000001,0,0.0,0,8,5,36.0,1,0,0,0.0,0,0.0,
00-0036613,Jaylen Waddle,WR,MIA,15,91.6,149.6,4,12.0,0,83,58,744.0,2,0,0,0.0,0,0.0,0.7866666666666667
00-0036620,Dee Eskridge,WR,MIA,3,4.4,7.4,0,0.0,0,3,3,44.0,0,0,0,0.0,0,0.0,0.09833333333333334
00-0036626,Dyami Brown,WR,WAS,15,37.4,67.4,3,26.0,0,40,30,308.0,1,0,1,0.0,0,0.0,0.48
00-0036628,John Bates,TE,WAS,10,6.4,14.4,0,0.0,0,13,8,84.0,0,0,0,0.0,0,0.0,0.4365
