player_id,player_name,red_zone_touches,goal_line_touches,total_touches,red_zone_share,goal_line_share
00-0033280,C.McCaffrey,11.0,1.0,69.0,0.15942028985507245,0.014492753623188406
00-0035208,O.Zaccheaus,11.0,2.0,76.0,0.14473684210526316,0.02631578947368421
00-0035250,D.Singletary,11.0,5.0,137.0,0.08029197080291971,0.0364963503649635
00-0038611,C.Rodriguez,11.0,2.0,36.0,0.3055555555555556,0.05555555555555555
00-0033357,T.Hill,11.0,2.0,70.0,0.15714285714285714,0.02857142857142857
00-0036906,K.Herbert,11.0,5.0,48.0,0.22916666666666666,0.10416666666666667
00-0035243,M.Sanders,11.0,2.0,85.0,0.12941176470588237,0.023529411764705882
00-0037267,J.Ford,11.0,3.0,147.0,0.07482993197278912,0.02040816326530612
00-0033854,D.Ogunbowale,11.0,3.0,61.0,0.18032786885245902,0.04918032786885246
00-0034351,D.Goedert,11.0,1.0,74.0,0.14864864864864866,0.013513513513513514
00-0039373,A.Estime,11.0,2.0,81.0,0.13580246913580246,0.024691358024691357
00-0032385,S.Shepard,11.0,3.0,60.0,0.18333333333333332,0.05
00-0033110,T.Higbee,11.0,3.0,27.0,0.4074074074074074,0.1111111111111111
00-0036550,R.Bateman,11.0,2.0,79.0,0.13924050632911392,0.02531645569620253
00-0039918,C.Williams,11.0,1.0,81.0,0.13580246913580246,0.012345679012345678
00-0036264,J.Love,11.0,2.0,27.0,0.4074074074074074,0.07407407407407407
00-0026498,M.Stafford,10.0,1.0,34.0,0.29411764705882354,0.029411764705882353
00-0039915,L.McConkey,10.0,1.0,127.0,0.07874015748031496,0.007874015748031496
00-0036244,C.Parkinson,10.0,4.0,53.0,0.18867924528301888,0.07547169811320754
00-0038977,T.Dell,10.0,1.0,90.0,0.1111111111111111,0.011111111111111112
